country_name,country_code,year,inflation,unemployment,trade_pct_gdp,govt_expenditure,urban_pop_pct,internet_users,liquid_liabilities_gdp,bank_zscore,bank_npl,bank_capital_ratio,bank_roa,life_expectancy,clean_water_access,primary_enrollment,secondary_enrollment,edu_expenditure,log_gdp_per_capita,log_private_credit_gdp,income_idx,health_idx,education_idx,hdi_proxy,hdi_proxy_t5
El Salvador,SLV,2017,1.012354033,4.385,74.30465119,24.8439899,71.08567047,33.8207,48.55053,21.02519,1.8941929,13.318626,0.6373453,71.007,69.35958846,96.15064,71.49817,3.72523,8.299317419457202,3.9277855216710424,0.5931946373927413,0.802034130166428,0.6325433358745493,0.6759240344779062,
El Salvador,SLV,2018,1.090330006,4.006,75.63361689,24.72709385,71.75772095,43.8,49.22879,20.48226,1.8461731,13.049007,0.7592515,71.384,69.35958846,94.82711,71.66179,3.59242,8.339153544547335,3.951906960126582,0.597807047372279,0.8071721421474767,0.6341049047502157,0.6796946980899904,
El Salvador,SLV,2019,0.075324135,4.17,76.0420131,24.7593666,72.4148941,50.4912,53.00062,20.60951,1.7204573,12.254007,0.8095486,71.725,69.35958846,94.82711,71.66179,3.59242,8.37126914667568,3.975626902440627,0.6015255396558653,0.8118195216847118,0.6341049047502157,0.6824833220302643,
El Salvador,SLV,2020,-0.371590212,5.008,66.45950695,33.94460698,73.05702209,54.6014,63.38292,19.58387,1.5705612,11.336948,0.6870319,70.244,69.35958846,94.82711,71.66179,3.59242,8.293597737009204,4.083017148625582,0.5925323862239028,0.7916354480933768,0.6341049047502157,0.672757579689165,
El Salvador,SLV,2021,3.466925853,4.327,81.84507598,29.50748438,73.68385315,61.7527,56.48178,20.56678,1.5705612,11.336948,0.9609106,69.941,69.35958846,94.82711,71.66179,3.59242,8.443246806729634,3.9905075151261324,0.6098594445420829,0.787505958357945,0.6341049047502157,0.6771567692167478,
Serbia,SRB,2017,3.131062486,13.477,102.7404452,36.1410383,60.62120819,70.3308,47.79622,14.35747,21.58,20.299999,2.038898,75.53902439,74.78724317,100.31293,95.49509,3.71509,8.787073224374883,3.7199730003632627,0.6496692502495272,0.8637996357744532,0.8615669478037825,0.791678611275921,
Serbia,SRB,2018,1.959840763,12.733,105.563713,35.19236678,60.8433609,73.3607,51.36775,13.33905,21.58,20.299999,1.985133,75.8902439,74.80425748,100.30193,95.08724,3.58539,8.930740438472482,3.746877334947296,0.6663037017815683,0.8685862937329628,0.8576744782649692,0.7975214912598334,
Serbia,SRB,2019,1.849229845,10.395,107.5773095,35.74258763,61.04922485,77.4168,51.03222,12.55498,21.58,20.299999,1.662133,75.93658537,74.8241408,99.64471,94.47219,3.58539,8.956303625461516,3.760840981445136,0.6692635252711832,0.8692178667517412,0.8518045177651603,0.7967619699293614,
Serbia,SRB,2020,1.575532901,9.011,100.3244608,42.53765247,61.22320175,78.368,60.60735,11.06735,21.58,20.299999,0.9598893,74.47804878,74.84690637,99.64471,94.47219,3.58539,8.999583482857153,3.838619277543898,0.6742746664329536,0.8493399397644251,0.8518045177651603,0.7918063746541796,
Serbia,SRB,2021,4.085102853,9.843,112.3422983,37.69828951,61.36389923,81.1659,60.26838,10.3452,21.58,20.299999,0.9727033,72.7804878,74.87272359,99.64471,94.47219,3.58539,9.177975017090596,3.793559238126542,0.6949296596307528,0.8262044260938655,0.8518045177651603,0.7909795344965929,
Suriname,SUR,2017,21.99694302,7.905,90.96139415,22.765940739999998,66.10464671,48.9452,65.38924,6.575426,5.3000002,9.5,0.4663891,71.247,55.09332943,110.0,77.4679,4.12402,8.707899710288277,3.375629285948248,0.6405021762516955,0.8053050131251858,0.6895176945356732,0.7117749613041848,
Suriname,SUR,2018,21.99694302,7.817,90.96139415,22.765940739999998,66.06930604,55.1,64.32846,6.982873,5.3000002,9.5,-0.0055835,71.468,55.31203393,108.84212,82.26363,4.12402,8.804886534554504,3.227817330196291,0.6517317573195593,0.808316951183042,0.7352875436011943,0.7317787507012653,
Suriname,SUR,2019,21.99694302,7.755,90.96139415,22.765940739999998,66.03704923,62.0,64.40472,8.664505,5.3000002,9.5,0.3326338,71.773,55.53424964,109.22744,82.26363,4.12402,8.799460794850399,3.1869161107429633,0.651103540195003,0.8124736982764634,0.7352875436011943,0.7329549273575536,
Suriname,SUR,2020,34.88978431,8.973,90.96139415,22.765940739999998,66.00830078,69.8369,85.69757,8.664505,5.3000002,9.5,0.3326338,72.321,55.76043462,109.22744,82.26363,4.12402,8.467244722240498,3.2345570295816777,0.6126380336930097,0.8199422143656273,0.7352875436011943,0.7226225972199437,
Suriname,SUR,2021,59.11966263,8.706,90.96139415,22.765940739999998,65.98539734,76.572,83.89305,8.664505,5.3000002,9.5,0.3326338,68.943,55.77625637,109.22744,82.26363,4.12402,8.523343913881382,3.0259398943934332,0.6191334563974761,0.77390453672111,0.7352875436011943,0.7094418455732602,
Slovak Republic,SVK,2017,1.311945882,8.142,186.6446874,37.03928549,53.61260182,81.6257,69.44907,23.39309,3.701005,10.772322,0.9977258,77.16585366,99.16688373,98.73205,91.06786,3.93913,9.778294435099559,4.114670745249514,0.7644374058854367,0.8859711696746679,0.8193140167842408,0.8232408641147817,
Slovak Republic,SVK,2018,2.514037129,6.544,188.7329647,37.1287832,53.48814969,80.4489,69.59563,22.45472,3.0775617,10.576995,0.9046464,77.26585366,99.22469816,99.70799,91.36261,3.93913,9.881976423281301,4.143414369827345,0.7764421838578363,0.8873340375741505,0.8221270740272596,0.8286344318197488,
Slovak Republic,SVK,2019,2.664561334,5.761,183.7226086,38.09799212,53.36665587,82.8537,72.32749,21.82637,2.8711831,10.436672,0.8376172,77.66585366,99.2825048,99.70799,91.36261,3.93913,9.8733921433018,4.155273137839898,0.7754482563973963,0.8927855091720802,0.8221270740272596,0.8301202798655787,
Slovak Republic,SVK,2020,1.936941267,6.719,167.5341733,42.11001219,53.24819989,89.9209,79.9754,21.19142,2.5300127,10.243858,0.5861833,76.86585366,99.34031862,99.70799,91.36261,3.93913,9.890224274343181,4.222478141998308,0.7773971580291814,0.8818825659762206,0.8221270740272596,0.8271355993442205,
Slovak Republic,SVK,2021,3.149606299,6.894,181.9794845,42.39582767,53.19014799,88.9256,80.13683,18.92566,2.5300127,10.243858,0.713666,74.61463415,99.39812644,99.70799,91.36261,3.93913,10.00443337721996,4.238782078784021,0.790620813810737,0.8512014179275444,0.8221270740272596,0.8213164352551803,
Slovenia,SVN,2017,1.429107433,6.564,158.7021358,42.29810396,55.24511337,78.8854,68.92762,5.510128,3.2036345,8.3000002,1.389209,81.02926829,96.34081988,100.39674,110.0,4.78324,10.056383633254377,3.829893004205624,0.7966358536478327,0.9386244074908467,1.0,0.9117534203795598,
Slovenia,SVN,2018,1.73860862,5.108,162.613494,41.14503766,55.1913431,79.75,69.12437,5.371148,6.0092175,10.688248,1.432167,81.37804878,96.90887649,102.06222,110.0,4.78324,10.16157530536438,3.791314870838119,0.808815429776451,0.9433778248287144,1.0,0.9173977515350552,
Slovenia,SVN,2019,1.630522608,4.446,160.0442757,40.78950041,55.45232773,83.1084,70.13856,5.114887,3.3647727,10.611287,1.333757,81.52926829,97.47687577,102.06222,110.0,4.78324,10.15871753302743,3.771635937702844,0.8084845437373,0.945438746988259,1.0,0.917974430241853,
Slovenia,SVN,2020,-0.054856816,4.971,147.5490086,49.10753079,55.38439178,86.6013,81.01244,4.711134,3.017635,9.5228498,1.340077,80.53170732,98.04481771,102.06222,110.0,4.78324,10.142231388562571,3.7924470384305287,0.8065757020243634,0.9318433087503631,1.0,0.9128063369249088,
Slovenia,SVN,2021,1.917065061,4.744,161.7887275,46.60786241,55.30462894,89.004,79.3583,4.485082,3.017635,9.5228498,1.1715,80.67560976,98.61270232,102.06222,110.0,4.78324,10.281713013605525,3.7393465447891763,0.8227255267840413,0.9338045089116952,1.0,0.9188433452319122,
Sweden,SWE,2017,1.794499047,6.718,86.06930887,31.9815856,87.23737379,93.0063,72.77847,36.46971,1.1197808,6.1282944,0.8917865,82.4097561,99.66713385,110.0,110.0,7.56883,10.882024617929405,4.884903500602285,0.8922323683342898,0.9574386327096049,1.0,0.9498903336812982,
Sweden,SWE,2018,1.953535301,6.365,90.40871424,32.04041913,87.47374309,89.247,72.37709,37.74024,0.49490867,6.1847812,0.8212293,82.55853659,99.68554091,110.0,110.0,7.56883,10.897099546584949,4.889372711832761,0.8939778129831939,0.9594663142485077,1.0,0.9511480424105673,
Sweden,SWE,2019,1.784150974,6.833,92.75113903,31.40633395,87.70884202,94.4934,74.08854,37.49242,0.5813252,6.3282852,0.7970533,83.1097561,99.70368052,110.0,110.0,7.56883,10.85224526699694,4.883426727355213,0.8887843779709128,0.9669787080059822,1.0,0.951921028658965,
Sweden,SWE,2020,0.497367319,8.291,84.47459581,34.93562052,87.94240469,94.5394,87.71589,38.10057,0.51336145,6.2616973,0.6727615,82.35609756,99.72158063,110.0,110.0,7.56883,10.869892765570453,4.9326795183756875,0.8908276866097471,0.956707337692614,1.0,0.9491783414341204,
