Country Name,Country Code,Series,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Viet Nam,VNM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,12373,33967,145865,271895,550211,..,..,686337,483304,..,94222,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..
Viet Nam,VNM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,105.20824,106.75215,107.70129,111.09923,112.39673,113.85931,114.51897,115.72478,114.7698,111.92417,109.52826,106.55013,103.07186,100.21296,98.92959,97.72135,98.12531,99.78874,101.65875,102.32125,105.70917,107.19372,107.7544,108.4109,110.32963,109.88699,111.20492,109.15083,110.59481,115.43517,..,..,..,..,..,..
Viet Nam,VNM,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,..,..,..,..,76.45992,79.73137,81.55418,82.84005,86.46988,89.11635,90.23367,90.92577,88.6119,87.90193,86.50099,86.24519,86.95256,87.88466,90.82703,91.98673,94.18738,97.83202,98.70146,99.83713,101.09146,100.7914,..,..,..,..,..,..
Viet Nam,VNM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.88674,4.8165,5.13722,4.81372,5.53329,5.652,..,..,4.34481,..,4.16745,..,..,..,..,..,..,..
Viet Nam,VNM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,90.2783,90.15613,..,..,..,..,..,..,..,..,93.52045,..,..,..,..,..,..,..,..,95.00038,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,..,116.88025,119.67091,123.27513,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
